Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,class_id
733.6,727.6,561.6,512.2,369.4,547.0,703.0,143.4,509.6,113.4,662.0,271.0,770.6,567.8,857.4,709.4,879.4,160.0,4.6,57.2,667.4,791.4,922.4,626.6,250.4,7
359.4,28.2,437.4,499.8,398.4,262.2,897.2,626.4,810.2,847.4,584.2,722.2,905.6,986.6,953.8,126.4,617.6,116.2,555.4,598.4,892.0,295.2,187.8,881.8,494.6,7
85.2,4.6,303.8,289.8,4.6,116.4,808.4,617.0,830.6,297.4,174.8,233.4,284.4,438.2,87.6,647.8,344.2,763.4,953.8,134.4,24.0,592.6,399.4,346.0,970.8,7
573.4,521.6,159.8,399.6,952.4,386.6,904.8,534.0,385.4,537.2,149.8,130.8,445.8,594.4,296.4,119.0,469.4,709.6,43.2,729.0,445.2,812.0,840.2,932.2,530.0,7
834.6,838.0,729.8,343.0,345.4,624.8,913.4,909.2,123.4,821.2,79.0,488.0,672.0,736.0,133.0,115.4,520.8,717.8,816.6,468.2,647.6,588.8,753.6,340.0,602.0,7
339.6,715.0,431.2,857.2,805.4,897.0,665.4,28.6,655.2,894.6,219.4,472.6,324.0,145.4,570.4,9.6,568.2,188.8,851.0,328.8,225.0,451.8,907.6,226.4,96.4,7
769.6,852.0,659.2,42.8,857.6,26.0,702.4,291.8,724.2,56.8,604.0,855.4,801.4,247.2,884.8,828.6,167.2,885.2,779.2,216.4,819.0,154.2,601.8,601.0,98.6,7
13.0,512.6,694.2,728.6,527.8,127.6,540.6,568.6,634.8,420.6,665.6,518.8,313.8,401.6,564.4,433.4,588.2,367.0,195.0,178.4,642.8,126.2,661.0,409.6,223.0,7
421.8,366.4,585.6,906.0,538.2,694.2,488.8,415.8,669.4,630.4,693.8,552.0,347.6,763.6,174.2,331.2,876.6,151.8,481.4,587.2,373.4,878.8,758.0,20.8,232.6,7
672.6,394.2,22.8,834.6,332.4,87.6,4.6,590.4,893.2,29.2,220.0,461.8,52.4,4.0,316.4,597.6,791.6,255.6,42.6,509.2,16.6,699.2,88.6,611.2,23.8,7
585.8,681.0,496.4,742.6,100.6,607.4,923.2,304.4,884.0,162.4,471.4,99.6,510.0,425.4,136.2,139.8,244.2,215.2,733.6,778.4,895.0,206.0,293.8,192.6,802.0,8
15.8,103.8,755.0,856.6,41.0,294.2,133.8,840.4,4.8,101.4,842.0,670.4,808.0,378.4,882.6,775.8,608.4,83.8,509.0,575.0,806.2,555.6,180.8,432.0,879.6,8
